分析報告開始,分析報告結束,廣告名稱,廣告投遞,貼文留言數,訊息對話開始次數,潛在顧客,每次成果成本,成果指標,"花費金額 (TWD)",廣告組合預算,廣告組合預算類型,點擊次數（全部）,CTR（連結點閱率）,頻率,開始,結束時間
2026-02-23,2026-05-29,"0223_高人氣高含金 - 複本 - 複本 - 複本 - 複本 - 複本 - 複本 - 複本 - 複本 - 複本",not_delivering,,,,,,371,200,每日,19,1.647446,1.469734,2026-04-12,2026-04-22
2026-02-23,2026-05-29,"0401_立可交屋 - 複本 - 複本 - 複本 - 複本 - 複本 - 複本",not_delivering,1,1,,,,283,200,每日,14,1.984127,1.333333,2026-04-12,2026-04-22
2026-02-23,2026-05-29,"0311_日系微型商辦 - 複本 - 複本 - 複本",not_delivering,,,1,341,actions:leadgen.other,341,300,每日,17,1.528384,1.335277,2026-04-12,2026-04-22
2026-02-23,2026-05-29,"0223_高人氣高含金 - 複本",inactive,,,,,,885,300,每日,29,1.01476,1.407792,2026-04-12,2026-04-22
2026-02-23,2026-05-29,"0401_立可交屋 - 複本",not_delivering,1,,1,1357,actions:leadgen.other,1357,3420,總經費,78,1.060717,1.890733,2026-04-10,2026-04-22
2026-02-23,2026-05-29,"0401_立可交屋 - 複本 - 複本",not_delivering,,,,,,180,3600,總經費,7,,1.330218,2026-04-10,2026-04-22
2026-02-23,2026-05-29,"0311_日系微型商辦 - 複本 - 複本 - 複本 - 複本",inactive,,,,,,46,4100,總經費,4,1.704545,1.142857,2026-04-10,2026-04-22
2026-02-23,2026-05-29,0415_驕傲棟距,not_delivering,,,,,,157,4100,總經費,7,1.626016,1.382022,2026-04-10,2026-04-22
2026-02-23,2026-05-29,"0415_驕傲棟距 - 複本",not_delivering,,,5,563.6,actions:leadgen.other,2818,233,每日,155,1.096442,2.471792,2026-04-15,2026-05-22
2026-02-23,2026-05-29,"0415_驕傲棟距 - 複本",not_delivering,,,,,,165,300,每日,5,1.149425,1.2,2026-04-12,2026-04-22
2026-02-23,2026-05-29,"0415_驕傲棟距 - 複本",not_delivering,,,2,187.5,actions:leadgen.other,375,3420,總經費,18,2.147971,1.790598,2026-04-10,2026-04-22
2026-02-23,2026-05-29,"0415_驕傲棟距 - 複本",not_delivering,,,,,,197,150,每日,7,0.47619,1.438356,2026-04-15,2026-04-22
2026-02-23,2026-05-29,"0415_驕傲棟距 - 複本",not_delivering,,,,,,194,4300,總經費,4,1.769912,1.43038,2026-04-10,2026-04-22
2026-02-23,2026-05-29,"0415_驕傲棟距 - 複本",not_delivering,,,,,,257,150,每日,7,0.533333,1.175549,2026-04-15,2026-04-22
2026-02-23,2026-05-29,0401_立可交屋,not_delivering,,,,,,895,6200,總經費,73,0.541638,1.837065,2026-03-31,2026-04-22
2026-02-23,2026-05-29,0401_立可交屋,not_delivering,1,,5,452.6,actions:leadgen.other,2263,6700,總經費,127,0.822669,1.894372,2026-03-31,2026-04-22
2026-02-23,2026-05-29,"0401_立可交屋 - 複本",inactive,,,,,,692,7800,總經費,32,0.591133,1.576087,2026-03-30,2026-05-22
2026-02-23,2026-05-29,"0401_立可交屋 - 複本",not_delivering,,,,,,61,6400,總經費,6,0.574713,1.298507,2026-03-30,2026-04-22
