分析報告開始,分析報告結束,廣告組合名稱,廣告組合投遞,曝光次數,頻率,觸及人數,貼文留言數,訊息對話開始次數,潛在顧客,每次成果成本,成果指標,"花費金額 (TWD)",點擊次數（全部）,CTR（連結點閱率）,開始,結束時間,廣告組合預算,廣告組合預算類型
2026-04-09,2026-06-08,"30-60 / 中清文心 / 二代/自營商",inactive,3694,1.320701,2797,,,1,717,actions:leadgen.other,717,95,0.676773,2026-05-08,2026-05-19,3000,總經費
2026-04-09,2026-06-08,"30-60 / 北屯潭子 / 汽車市場/技師",inactive,4083,1.28074,3188,,,,,,738,96,0.563311,2026-05-08,2026-05-19,3000,總經費
2026-04-09,2026-06-08,33-65/大台中/科技業通勤族,inactive,10919,1.870012,5839,,,5,472.4,actions:leadgen.other,2362,278,0.805935,2026-05-09,進行中,300,每日
2026-04-09,2026-06-08,33-65/大台中/純買房興趣,inactive,9767,1.954182,4998,,,4,554.25,actions:leadgen.other,2217,268,0.757653,2026-05-09,進行中,300,每日
2026-04-09,2026-06-08,"30–50 / 東區北區大里 / 北屯在地換屋首購菁英",inactive,1892,1.143202,1655,,,,,,320,47,0.317125,2026-05-12,2026-05-23,2500,總經費
2026-04-09,2026-06-08,"30–50 / 北區北屯 / 法律相關執業者+運動",inactive,1400,1.083591,1292,,,,,,338,47,0.785714,2026-05-12,2026-05-23,2500,總經費
2026-04-09,2026-06-08,30–50/北屯東區大里/在地換屋首購菁英,inactive,10312,1.784701,5778,,,7,312.14285714,actions:leadgen.other,2185,327,0.882467,2026-05-13,進行中,300,每日
2026-04-09,2026-06-08,30-60/中科潭子/律師興趣/咖啡/電動車,inactive,6758,1.356211,4983,3,1,1,1494,actions:leadgen.other,1494,199,0.665877,2026-05-13,2026-05-24,3000,總經費
2026-04-09,2026-06-08,32-60/水湳+5K/工程師/國外旅遊/收藏/教育,inactive,6476,1.429896,4529,2,,1,1486,actions:leadgen.other,1486,138,0.555899,2026-05-13,2026-05-24,3000,總經費
2026-04-09,2026-06-08,32-60/北屯西屯/雙語教育/出國常客/高級運動,inactive,7961,1.377812,5778,,,2,734,actions:leadgen.other,1468,207,0.71599,2026-05-13,2026-05-24,3000,總經費
2026-04-09,2026-06-08,"27-55 / 十期 / 新婚成家教育",inactive,3589,1.472108,2438,,,5,154,actions:leadgen.other,770,126,0.835887,2026-05-18,進行中,300,每日
2026-04-09,2026-06-08,"27-55 / 十期 / 591房產/上班族",inactive,950,1.186017,801,,,,,,209,23,0.842105,2026-05-19,進行中,300,每日
2026-04-09,2026-06-08,"27-55 / 十期東區 / 餐廳/串流媒體",inactive,1107,1.149533,963,,,2,127.5,actions:leadgen.other,255,35,0.993677,2026-05-19,進行中,300,每日
2026-04-09,2026-06-08,"30-55 / 中科 / 置產客/雙語/國際學校",inactive,1991,1.1698,1702,,,,,,338,37,0.401808,2026-06-01,進行中,300,每日
