分析報告開始,分析報告結束,廣告組合名稱,廣告組合投遞,曝光次數,觸及人數,貼文留言數,訊息對話開始次數,潛在顧客,每次成果成本,成果指標,"花費金額 (TWD)",廣告組合預算,廣告組合預算類型,點擊次數（全部）,CTR（連結點閱率）,頻率,開始,結束時間
2026-03-20,2026-06-02,"30-55 /  大里南區 / 旅遊戶外親子",not_delivering,1839,1406,,,,,,638,2000,總經費,45,0.380642,1.307966,2026-04-16,2026-04-19
2026-03-20,2026-06-02,"28-60 / 國圖館+6 / 親子運動",not_delivering,975,797,,,,,,397,1200,總經費,20,0.615385,1.223338,2026-04-16,2026-04-19
2026-03-20,2026-06-02,"35-60 / 興大南區  / 教授教育(鎖FB)-30D廣告互動",active,37630,11653,2,2,27,320.7037037,actions:leadgen.other,8659,13200,總經費,890,0.988573,3.229211,2026-04-21,2026-06-19
2026-03-20,2026-06-02,"28-60 / 興大大里 / 科技醫療",inactive,21398,7408,3,,11,389.81818182,actions:leadgen.other,4288,使用行銷活動預算,0,523,0.89728,2.888499,2026-04-21,進行中
2026-03-20,2026-06-02,"28-60 / 南屯西區東區 / 藝文時尚(0514調整區域",inactive,11340,4934,2,,7,405.57142857,actions:leadgen.other,2839,使用行銷活動預算,0,184,0.820106,2.298338,2026-04-22,進行中
2026-03-20,2026-06-02,"28-60 / 國圖館+6 / 傳統產業老闆",inactive,1975,1295,,,,,,446,使用行銷活動預算,0,37,0.860759,1.525097,2026-04-22,進行中
2026-03-20,2026-06-02,"28-60 / 國圖館+6 / AI科技上班族",inactive,1205,980,1,,,,,405,使用行銷活動預算,0,26,0.580913,1.229592,2026-05-12,進行中
2026-03-20,2026-06-02,"28-60 / 國圖館+6 /1%公務員",inactive,657,468,,,,,,149,使用行銷活動預算,0,31,1.369863,1.403846,2026-05-14,進行中
2026-03-20,2026-06-02,33-60/東區南屯南區/注重教育/銀行業/理財顧問,active,22269,7441,3,4,16,323.71428571,actions:leadgen.other,4532,9100,總經費,645,1.086712,2.992743,2026-05-15,2026-06-19
2026-03-20,2026-06-02,"28-55 / 中興國圖 /新婚/首購/成家",active,6646,3793,,,5,233.8,actions:leadgen.other,1169,250,每日,93,0.993079,1.752175,2026-05-28,進行中
2026-03-20,2026-06-02,"28-60 / 南區東區大里 / 金融投資興趣(0511調整",inactive,11480,5378,1,,6,392.16666667,actions:leadgen.other,2353,3500,總經費,237,0.505226,2.134623,2026-04-02,2026-05-19
2026-03-20,2026-06-02,"28-60 / 南區東區大里 / 五金傳產政治",inactive,20809,7474,3,1,12,399.66666667,actions:leadgen.other,4796,6500,總經費,572,0.989956,2.784185,2026-04-11,2026-05-26
2026-03-20,2026-06-02,"28-60 / 南區東區大里 / 菁英教育家庭",inactive,2262,1637,,,,,,739,6000,總經費,39,0.530504,1.381796,2026-04-13,2026-05-19
2026-03-20,2026-06-02,"30-60 / 興大南區  / 在地生活",inactive,2566,1626,2,,,,,808,5500,總經費,62,0.584567,1.578106,2026-04-22,2026-05-19
2026-03-20,2026-06-02,"28-60 / 國圖館+6 / 高資產女性置產族",inactive,11172,4904,1,1,5,502.4,actions:leadgen.other,2512,8400,總經費,450,1.288937,2.27814,2026-04-24,2026-06-19
2026-03-20,2026-06-02,33-60/中興大學+5/文藝/登山興趣,inactive,3646,2076,1,1,1,,,744,8500,總經費,118,0.959956,1.756262,2026-05-18,2026-06-19
