分析報告開始,分析報告結束,廣告組合名稱,廣告組合投遞,曝光次數,觸及人數,貼文留言數,訊息對話開始次數,潛在顧客,每次成果成本,成果指標,"花費金額 (TWD)",廣告組合預算,廣告組合預算類型,點擊次數（全部）,CTR（全部）,粉絲專頁互動,開始,結束時間
2024-03-16,2026-05-29,28-60/西屯南屯太平/建築營造,inactive,2113,1650,,,1,1372,actions:leadgen.other,1372,200,每日,74,3.50213,621,2025-09-01,進行中
2024-03-16,2026-05-29,30-60/台中/寵物相關興趣,inactive,477,396,,,,,,388,200,每日,25,5.24109,131,2025-09-01,進行中
2024-03-16,2026-05-29,30-60/74沿線/傳產老闆/自營商/醫生/投資興趣,inactive,3738,2389,,,4,598,actions:leadgen.other,2392,300,每日,204,5.457464,1006,2025-09-03,進行中
2024-03-16,2026-05-29,30-60/大台中/商業投資興趣,inactive,2316,1850,1,,1,1428,actions:leadgen.other,1428,300,每日,85,3.670121,600,2025-09-03,進行中
2024-03-16,2026-05-29,28-60/西屯南區太平/影視製作相關,inactive,530,414,,,,,,601,200,每日,25,4.716981,113,2025-09-08,進行中
2024-03-16,2026-05-29,30-60/北屯潭子/傳產興趣,inactive,3507,2130,,,3,791.66666667,actions:leadgen.other,2375,300,每日,130,3.706872,833,2025-09-10,進行中
2024-03-16,2026-05-29,30-50/西屯水湳/youtuber/進口代理商/投資興趣,inactive,862,695,,,,,,521,300,每日,12,1.392111,167,2025-09-10,進行中
2024-03-16,2026-05-29,28-60/西屯南區太平/中小企業,inactive,347,286,,,,,,356,300,每日,14,4.034582,80,2025-09-11,進行中
2024-03-16,2026-05-29,28-60/西屯西區南區/3C興趣,inactive,1472,1190,,,,,,1244,300,每日,53,3.600543,483,2025-09-11,進行中
2024-03-16,2026-05-29,28-55/西屯西區南區/留學/國際家庭,inactive,1027,778,,,,,,734,300,每日,27,2.629017,182,2025-09-15,進行中
2024-03-16,2026-05-29,"202505_景立方_高校速成_台中大範圍(0616調 廣告組合",not_delivering,31297,13346,9,17,24,281.375,actions:leadgen.other,6753,250,每日,1218,3.891747,353,2025-05-20,進行中
2024-03-16,2026-05-29,"202505_景立方_高校速成_北台中 廣告組合",not_delivering,38896,17418,16,17,23,376.82608696,actions:leadgen.other,8667,250,每日,1634,4.200946,419,2025-05-30,進行中
2024-03-16,2026-05-29,"202506_景立方_高校速成_台中大範圍-1510 廣告組合",not_delivering,31084,13960,10,9,19,370.21052632,actions:leadgen.other,7034,250,每日,1158,3.725389,337,2025-06-16,進行中
2024-03-16,2026-05-29,"202506_景立方_高效速成_西屯北區北屯-1510 廣告組合",not_delivering,7363,5268,1,1,2,860,actions:leadgen.other,1720,250,每日,259,3.517588,74,2025-06-27,進行中
2024-03-16,2026-05-29,"202507_景立方_高校速成_台中大範圍-1510 廣告組合",not_delivering,8267,4816,2,3,4,618.5,actions:leadgen.other,2474,250,每日,435,5.261885,92,2025-07-14,進行中
2024-03-16,2026-05-29,"202507_景立方_高校速成_台中74沿線-科技業-1510 行銷活動 廣告組合",not_delivering,23501,10683,9,12,17,315.70588235,actions:leadgen.other,5367,200,每日,1048,4.459385,297,2025-07-24,進行中
2024-03-16,2026-05-29,"202507_景立方_高校速成_西屯南區北屯北區-醫療人員-1510 行銷活動 廣告組合",not_delivering,6931,5225,3,1,1,1537,actions:leadgen.other,1537,250,每日,292,4.212956,88,2025-07-25,進行中
