分析報告開始,分析報告結束,廣告名稱,貼文留言數,訊息對話開始次數,潛在顧客,每次成果成本,成果指標,"花費金額 (TWD)",點擊次數（全部）,CTR（全部）,頻率,開始,結束時間
2025-10-28,2026-05-29,1028_EP02(影片),,,1,1246,actions:leadgen.other,1246,56,2.2499,1.106714,2026-01-09,2026-01-20
2025-10-28,2026-05-29,1222_千坪綠覆(影片)V2,,,,,,1,0,0,1,2026-01-09,2026-01-20
2025-10-28,2026-05-29,1028_EP03(影片)V2,,,,,,784,25,2.587992,1.154122,2026-01-09,2026-01-20
2025-10-28,2026-05-29,1114_生活有品味(影片),,,,,,149,5,2.118644,1.340909,2025-12-18,2026-01-08
2025-10-28,2026-05-29,1028_EP03(影片),,,3,766.66666667,actions:leadgen.other,2300,64,1.880694,1.171832,2025-12-18,2026-01-08
2025-10-28,2026-05-29,1028_EP02(影片),,,1,774,actions:leadgen.other,774,38,1.794993,1.086756,2025-12-18,2025-12-31
2025-10-28,2026-05-29,1028_EP03(影片),,,,,,847,37,3.850156,1.134593,2025-12-18,2025-12-31
2025-10-28,2026-05-29,1114_生活有品味(影片),,,,,,0,0,0,1,2025-12-18,2025-12-31
2025-10-28,2026-05-29,1028_EP02(影片),,,3,939.66666667,actions:leadgen.other,2819,158,2.87796,1.147096,2025-12-18,2026-01-08
2025-10-28,2026-05-29,1222_千坪綠覆(影片),,,,,,415,24,2.933985,1.20649,2025-12-18,2025-12-31
2025-10-28,2026-05-29,1222_千坪綠覆(影片),,,1,978,actions:leadgen.other,978,29,1.437066,1.228241,2025-12-18,2026-01-08
2025-10-28,2026-05-29,1222_千坪綠覆(影片),,,,,,316,16,2.882883,1.10338,2025-12-26,2026-01-08
2025-10-28,2026-05-29,1028_EP03(影片),,,2,689.5,actions:leadgen.other,1379,46,3.554869,1.148181,2025-12-26,2026-01-08
2025-10-28,2026-05-29,1222_千坪綠覆(影片),,,,,,505,27,2.8451,1.153098,2025-12-29,2026-01-19
2025-10-28,2026-05-29,1222_千坪綠覆(影片),,,,,,487,33,3.346856,1.065946,2025-12-31,2026-01-21
2025-10-28,2026-05-29,1222_千坪綠覆(影片),1,,2,251.5,actions:leadgen.other,503,39,6.689537,1.313063,2025-10-28,進行中
2025-10-28,2026-05-29,1222_千坪綠覆(影片),,,,,,357,12,1.886792,1.193246,2025-10-30,進行中
2025-10-28,2026-05-29,1222_千坪綠覆(影片),,,,,,237,6,2.135231,1.146939,2026-01-02,2026-01-13
2025-10-28,2026-05-29,1028_EP03(影片),,,1,1077,actions:leadgen.other,1077,26,3.009259,1.150466,2026-01-02,2026-01-13
2025-10-28,2026-05-29,1222_千坪綠覆(影片),,,1,764,actions:leadgen.other,764,25,2.044154,1.358889,2025-10-28,進行中
2025-10-28,2026-05-29,1028_EP02(影片),,,3,381.66666667,actions:leadgen.other,1145,58,1.753855,1.085686,2025-12-08,2025-12-20
2025-10-28,2026-05-29,1028_EP03(影片),,,,,,1467,42,3.11804,1.160207,2025-12-08,2025-12-20
2025-10-28,2026-05-29,1028_EP02(影片),2,,1,1238,actions:leadgen.other,1238,57,3.298611,1.180328,2025-12-08,2025-12-20
2025-10-28,2026-05-29,1114_生活有品味(影片),,,,,,0,0,0,1,2025-12-08,2025-12-20
