分析報告開始,分析報告結束,廣告組合名稱,廣告組合投遞,曝光次數,觸及人數,貼文留言數,訊息對話開始次數,潛在顧客,每次成果成本,成果指標,"花費金額 (TWD)",廣告組合預算,廣告組合預算類型,點擊次數（全部）,CTR（連結點閱率）,頻率,開始,結束時間
2024-03-16,2026-06-03,30-60/北屯/職業婦女興趣(1101調),inactive,2419,1532,1,,2,802.5,actions:leadgen.other,1605,2900,總經費,112,1.446879,1.578982,2024-10-28,2024-11-15
2024-03-16,2026-06-03,30-60/西屯南屯/精算師興趣,not_delivering,840,616,,,,,,433,2500,總經費,19,0.714286,1.363636,2024-11-05,2024-11-16
2024-03-16,2026-06-03,30-60/北屯/傳產/新婚/親子教育/寵物,not_delivering,616,480,,,,,,446,2500,總經費,34,1.948052,1.283333,2024-11-05,2024-11-16
2024-03-16,2026-06-03,"35-55 / 八期南區烏日 / 律師醫生",not_delivering,290,241,,,,,,310,2500,總經費,14,0.689655,1.20332,2024-11-06,2024-11-16
2024-03-16,2026-06-03,35-60/西屯水湳/youtuber/進口代理商/投資興趣-1510,not_delivering,12806,5853,15,3,16,199.9375,actions:leadgen.other,3199,3200,總經費,899,1.429018,2.187938,2024-11-12,2026-05-31
2024-03-16,2026-06-03,"27-55/北屯潭子/ 年輕人興趣(0217三調)-1510",not_delivering,104885,29857,33,14,104,204.79807692,actions:leadgen.other,21299,21300,總經費,5194,1.145064,3.512912,2024-11-12,2026-05-31
2024-03-16,2026-06-03,"30-60/ 中科西屯南屯/工程師/科技業-1510",inactive,9315,5026,,,7,315.57142857,actions:leadgen.other,2209,400,每日,390,0.944713,1.853363,2025-01-02,進行中
2024-03-16,2026-06-03,28-55/北屯/新婚/小型企業主/親子/幼兒教育/數位行銷-1510,inactive,26141,10594,2,3,21,289.66666667,actions:leadgen.other,6083,150,每日,1355,1.26621,2.467529,2025-01-02,進行中
2024-03-16,2026-06-03,30-65/豐原后里潭子/製造業/科技業/自營商/露營-1510,not_delivering,16588,7062,12,3,16,331.1875,actions:leadgen.other,5299,5300,總經費,1117,1.513142,2.34891,2025-02-18,2026-05-31
2024-03-16,2026-06-03,30-55/北屯/教師/公務員/醫療人員,inactive,1787,1079,1,,,,,935,250,每日,36,0.335758,1.656163,2025-04-17,進行中
2024-03-16,2026-06-03,35-60/七期南屯/科技業主管/企業中高層/自營業者-1510,inactive,2006,1184,1,,1,1001,actions:leadgen.other,1001,250,每日,61,0.797607,1.694257,2025-04-17,進行中
2024-03-16,2026-06-03,40-65+/南屯北屯北區/公教退休人員/中小企業主-1510,inactive,1681,917,1,,1,970,actions:leadgen.other,970,250,每日,70,0.773349,1.833152,2025-04-17,進行中
2024-03-16,2026-06-03,"28-55/西屯南屯北屯/ IT人員-1510",inactive,6783,4382,1,,6,392.66666667,actions:leadgen.other,2356,300,每日,260,1.061477,1.547923,2025-09-17,進行中
2024-03-16,2026-06-03,30-65/西屯北屯潭子/銀行業/高爾夫/精品-1510,inactive,1054,1008,,,,,,439,300,每日,40,1.043643,1.045635,2025-09-17,進行中
2024-03-16,2026-06-03,28-55/西屯中科大雅/1%+製造業-1510,inactive,2512,1811,,,,,,1128,300,每日,69,0.915605,1.387079,2025-09-18,進行中
2024-03-16,2026-06-03,28-60/正北屯+8K/投資置產/雙語教育/高收興趣,inactive,4921,3230,1,,2,1076.5,actions:leadgen.other,2153,4000,總經費,137,1.259907,1.523529,2024-11-07,2025-01-12
2024-03-16,2026-06-03,"35-60 / 大台中 / 高知識教師+業務",inactive,820,603,,,,,,563,3000,總經費,20,0.731707,1.359867,2024-11-07,2024-11-17
2024-03-16,2026-06-03,"27-55/北屯潭子/ 年輕人興趣",inactive,3656,2242,,,1,1850,actions:leadgen.other,1850,4700,總經費,120,1.094092,1.630687,2024-11-07,2024-12-31
2024-03-16,2026-06-03,"35-60 / 大台中 / 博弈業",inactive,1846,1476,,,,,,990,3400,總經費,53,0.866739,1.250678,2024-11-09,2024-12-31
2024-03-16,2026-06-03,台中再行銷,inactive,357,319,,,,,,246,2000,總經費,12,1.120448,1.119122,2024-11-11,2024-11-20
2024-03-16,2026-06-03,"35-60/ 北屯+中科 / 室內設計/餐飲/科技/補教",inactive,389,356,,,,,,226,2500,總經費,8,0.257069,1.092697,2024-11-11,2024-11-20
2024-03-16,2026-06-03,35-65/水湳南屯/民事訴訟/搖滾樂/藝術興趣/潛水/閱讀/美食,inactive,1629,1297,,,,,,765,4500,總經費,52,0.859423,1.255975,2024-11-11,2024-12-31
2024-03-16,2026-06-03,台中高總再行銷-1510,inactive,5899,1472,7,2,21,118.66666667,actions:leadgen.other,2492,6000,總經費,438,1.847771,4.007473,2024-11-12,2024-11-30
2024-03-16,2026-06-03,台中高總再行銷(1128調),inactive,11453,4434,1,1,19,302.73684211,actions:leadgen.other,5752,6500,總經費,588,1.720073,2.582995,2024-11-21,2025-01-11
2024-03-16,2026-06-03,33-65/北屯北區西屯/藝術家興趣/名車/貿易商-1510,inactive,1049,759,2,,,,,349,4100,總經費,69,0.667302,1.382082,2024-12-10,2024-12-31
2024-03-16,2026-06-03,35-60/西屯北屯/公務員/自營商/理財(1231二調),inactive,12344,5218,2,,6,696.83333333,actions:leadgen.other,4181,6300,總經費,440,1.004537,2.365657,2024-12-11,2025-01-08
2024-03-16,2026-06-03,33-65/南屯嶺東烏日/科技新貴(0114三調)-1510,inactive,12720,6689,9,1,7,541.14285714,actions:leadgen.other,3788,6400,總經費,579,1.014151,1.90163,2024-12-12,2025-01-23
2024-03-16,2026-06-03,33-65/北屯北區西屯/科技新貴,inactive,2381,1296,,,1,991,actions:leadgen.other,991,2400,總經費,125,1.301974,1.837191,2024-12-18,2024-12-31
2024-03-16,2026-06-03,33-65/北屯北區西屯/法官律師/親子教育,inactive,2469,1601,,,,,,686,2000,總經費,77,0.607533,1.542161,2024-12-23,2024-12-31
2024-03-16,2026-06-03,30-60/潭子大坑太平/新婚/育兒/理財/旅遊(0108調區域),inactive,2512,1376,,,1,1654,actions:leadgen.other,1654,2000,總經費,58,0.875796,1.825581,2025-01-06,2025-01-15
2024-03-16,2026-06-03,30-60/南屯嶺東烏日/雙語教育/音樂藝術興趣/名車(0110二調),inactive,3216,2033,,,,,,1986,3000,總經費,50,0.559701,1.581899,2025-01-07,2025-01-16
2024-03-16,2026-06-03,30-60/潭子南屯烏日/雙薪家庭/理財/成家/旅遊,inactive,855,649,,,,,,572,2000,總經費,17,0.818713,1.317411,2025-01-13,2025-01-22
2024-03-16,2026-06-03,30-60/潭子南屯烏日/成家置產/鉑金大苑+景立方1%,inactive,308,261,,,,,,204,1500,總經費,7,0.324675,1.180077,2025-01-15,2025-01-22
2024-03-16,2026-06-03,28-55/74沿線/1%+業務-1510,inactive,3138,2152,,,,,,1117,300,每日,107,0.828553,1.458178,2025-09-18,進行中
2024-03-16,2026-06-03,28-55/台中/1%+精品-1510,inactive,1193,822,,,1,559,actions:leadgen.other,559,300,每日,69,1.257334,1.451338,2025-09-22,進行中
