分析報告開始,分析報告結束,廣告名稱,廣告投遞,曝光次數,觸及人數,貼文留言數,訊息對話開始次數,潛在顧客,每次成果成本,成果指標,"花費金額 (TWD)",廣告組合預算,廣告組合預算類型,點擊次數（全部）,頻率,CTR（全部）,開始,結束時間
2026-04-09,2026-06-01,0518_好市多森活圈,inactive,1334,963,,,,,,619,3500,總經費,34,1.385254,2.548726,2026-05-18,2026-05-29
2026-04-09,2026-06-01,0508_黑馬B版,inactive,2403,2018,2,,1,621,actions:leadgen.other,621,3500,總經費,70,1.190783,2.913025,2026-05-18,2026-05-29
2026-04-09,2026-06-01,0522_北屯表參道A版,inactive,1323,1076,,,,,,581,3500,總經費,30,1.229554,2.267574,2026-05-18,2026-05-29
2026-04-09,2026-06-01,0522_北屯表參道B版,not_delivering,1623,1243,,,,,,441,3500,總經費,45,1.305712,2.772643,2026-05-18,2026-05-29
2026-04-09,2026-06-01,0515_AI影片V2,not_delivering,1264,1000,1,,,,,351,2000,總經費,31,1.264,2.452532,2026-05-26,2026-06-06
2026-04-09,2026-06-01,0507_黑馬B版,not_delivering,672,642,,,,,,119,2000,總經費,16,1.046729,2.380952,2026-05-26,2026-06-06
2026-04-09,2026-06-01,0522_北屯表參道B版,not_delivering,1974,1518,,,1,425,actions:leadgen.other,425,2000,總經費,45,1.300395,2.279635,2026-05-26,2026-06-06
2026-04-09,2026-06-01,0518_好市多森活圈,not_delivering,131,117,,,,,,48,2000,總經費,4,1.119658,3.053435,2026-05-26,2026-06-06
2026-04-09,2026-06-01,0410_訂簽68萬,not_delivering,1330,1191,,,,,,296,3000,總經費,55,1.116709,4.135338,2026-04-29,2026-05-10
2026-04-09,2026-06-01,0424_南興角地V2,inactive,2334,1601,,,,,,521,3000,總經費,63,1.457839,2.699229,2026-04-29,2026-05-10
2026-04-09,2026-06-01,0410_訂簽68萬,inactive,3806,3388,4,,2,346,actions:leadgen.other,692,3000,總經費,134,1.123377,3.520757,2026-04-29,2026-05-10
2026-04-09,2026-06-01,0430_南興訂簽68萬,not_delivering,656,533,,,,,,153,3000,總經費,28,1.230769,4.268293,2026-04-29,2026-05-10
2026-04-09,2026-06-01,0430_南興訂簽68萬,not_delivering,809,699,,,,,,170,9000,總經費,28,1.157368,3.461063,2026-04-09,2026-05-29
2026-04-09,2026-06-01,0424_南興角地V2,inactive,1620,1238,,,,,,314,3000,總經費,40,1.308562,2.469136,2026-05-01,2026-05-10
2026-04-09,2026-06-01,0410_訂簽68萬,inactive,5281,4610,1,,2,544,actions:leadgen.other,1088,3000,總經費,191,1.145553,3.616739,2026-05-01,2026-05-10
2026-04-09,2026-06-01,0424_南興角地V2,not_delivering,341,300,1,,1,68,actions:leadgen.other,68,3000,總經費,11,1.136667,3.225806,2026-05-01,2026-05-10
2026-04-09,2026-06-01,0410_訂簽68萬,not_delivering,8329,6849,8,,4,332.5,actions:leadgen.other,1330,3000,總經費,335,1.21609,4.022091,2026-05-01,2026-05-10
2026-04-09,2026-06-01,0424_南興角地V2,inactive,6757,5633,,,2,668,actions:leadgen.other,1336,6500,總經費,238,1.199538,3.522273,2026-04-22,2026-05-14
2026-04-09,2026-06-01,0424_南興角地V2,inactive,7442,5323,,,3,460.33333333,actions:leadgen.other,1381,9000,總經費,159,1.398084,2.136522,2026-04-09,2026-05-29
2026-04-09,2026-06-01,0430_南興訂簽68萬,inactive,1032,801,,,,,,242,7800,總經費,32,1.28839,3.100775,2026-04-09,2026-05-22
2026-04-09,2026-06-01,0430_南興訂簽68萬,not_delivering,113,95,,,,,,29,3000,總經費,8,1.189474,7.079646,2026-05-01,2026-05-10
2026-04-09,2026-06-01,0410_訂簽68萬,inactive,2543,2309,,,,,,450,3000,總經費,82,1.101343,3.224538,2026-05-02,2026-05-13
2026-04-09,2026-06-01,0424_南興角地V2,not_delivering,636,538,,,,,,159,3000,總經費,11,1.182156,1.72956,2026-05-02,2026-05-13
2026-04-09,2026-06-01,0424_南興角地V2,not_delivering,663,567,,,,,,184,3000,總經費,17,1.169312,2.564103,2026-05-02,2026-05-13
2026-04-09,2026-06-01,0410_訂簽68萬,inactive,1944,1751,1,,,,,406,3000,總經費,77,1.110223,3.960905,2026-05-02,2026-05-13
2026-04-09,2026-06-01,0410_訂簽68萬new,inactive,1107,1026,,,,,,238,9000,總經費,35,1.078947,3.161698,2026-04-09,2026-05-29
2026-04-09,2026-06-01,0508_黑馬B版,not_delivering,1921,1775,,,,,,462,7800,總經費,63,1.082254,3.279542,2026-04-09,2026-05-22
2026-04-09,2026-06-01,0424_南興角地V2,not_delivering,1909,1735,,,,,,307,3000,總經費,46,1.100288,2.409639,2026-05-07,2026-05-17
2026-04-09,2026-06-01,0410_訂簽68萬new,not_delivering,571,546,,,,,,153,3000,總經費,16,1.045788,2.802102,2026-05-07,2026-05-17
