分析報告開始,分析報告結束,廣告名稱,廣告投遞,曝光次數,觸及人數,貼文留言數,訊息對話開始次數,潛在顧客,每次成果成本,成果指標,"花費金額 (TWD)",廣告組合預算,廣告組合預算類型,點擊次數（全部）,CTR（全部）,頻率,開始,結束時間
2026-04-09,2026-07-21,0508_黑馬B版,not_delivering,12530,10040,6,2,5,403.4,actions:leadgen.other,2017,300,每日,293,2.338388,1.248008,2026-05-25,進行中
2026-04-09,2026-07-21,0410_訂簽68萬,not_delivering,373,350,,,,,,57,250,每日,9,2.412869,1.065714,2026-05-26,進行中
2026-04-09,2026-07-21,0424_南興角地V2,inactive,2479,2195,,1,1,542,actions:leadgen.other,542,250,每日,77,3.106091,1.129385,2026-05-26,進行中
2026-04-09,2026-07-21,0508_黑馬B版,inactive,8208,6047,3,1,6,273.66666667,actions:leadgen.other,1642,250,每日,167,2.0346,1.357367,2026-05-26,進行中
2026-04-09,2026-07-21,0522_北屯表參道B版,inactive,735,634,,,,,,205,250,每日,15,2.040816,1.159306,2026-05-28,進行中
2026-04-09,2026-07-21,0424_南興角地V2,not_delivering,13355,8397,,,10,255.5,actions:leadgen.other,2555,250,每日,441,3.302134,1.590449,2026-05-28,進行中
2026-04-09,2026-07-21,0410_訂簽68萬,not_delivering,178,171,,,,,,38,250,每日,1,0.561798,1.040936,2026-05-28,進行中
2026-04-09,2026-07-21,0508_黑馬B版,inactive,1539,1331,1,,,,,298,250,每日,24,1.559454,1.156273,2026-05-28,進行中
2026-04-09,2026-07-21,0522_北屯表參道B版,not_delivering,3754,2538,,,3,351.66666667,actions:leadgen.other,1055,250,每日,83,2.210975,1.479117,2026-06-01,進行中
2026-04-09,2026-07-21,0410_訂簽68萬,not_delivering,558,537,1,,,,,187,250,每日,21,3.763441,1.039106,2026-06-01,進行中
2026-04-09,2026-07-21,0508_黑馬B版,inactive,740,657,1,,,,,190,250,每日,18,2.432432,1.126332,2026-06-01,進行中
2026-04-09,2026-07-21,0515_AI影片V2,not_delivering,470,387,,,,,,150,250,每日,10,2.12766,1.21447,2026-05-26,進行中
2026-04-09,2026-07-21,0602_無痛換(影片),inactive,1287,900,3,1,1,527,actions:leadgen.other,527,250,每日,42,3.263403,1.43,2026-05-26,進行中
2026-04-09,2026-07-21,0508_黑馬B版,not_delivering,234,213,,,,,,27,250,每日,8,3.418803,1.098592,2026-06-05,進行中
2026-04-09,2026-07-21,0410_訂簽68萬,inactive,923,849,1,,,,,210,250,每日,34,3.68364,1.087161,2026-06-05,進行中
2026-04-09,2026-07-21,0410_訂簽68萬,not_delivering,1477,1364,1,,1,269,actions:leadgen.other,269,300,每日,52,3.52065,1.082845,2026-05-04,進行中
2026-04-09,2026-07-21,0430_南興訂簽68萬,not_delivering,134,121,,,,,,34,300,每日,1,0.746269,1.107438,2026-05-04,進行中
2026-04-09,2026-07-21,0424_南興角地V2,not_delivering,556,476,,,,,,106,300,每日,6,1.079137,1.168067,2026-05-04,進行中
2026-04-09,2026-07-21,0430_南興訂簽68萬,not_delivering,975,744,1,,,,,190,300,每日,38,3.897436,1.310484,2026-05-04,進行中
2026-04-09,2026-07-21,0430_南興訂簽68萬,not_delivering,31,27,,,,,,21,300,每日,1,3.225806,1.148148,2026-05-04,進行中
