0522_北屯表參道B版 | spend=441 leads=None cpl=None ctr=2.772643 clicks=45.0 freq=1.305712 start=2026-05-18 end=2026-06-20
0515_AI影片V2 | spend=351 leads=None cpl=None ctr=2.452532 clicks=31.0 freq=1.264 start=2026-05-26 end=2026-06-06
0507_黑馬B版 | spend=119 leads=None cpl=None ctr=2.380952 clicks=16.0 freq=1.046729 start=2026-05-26 end=2026-06-06
0518_好市多森活圈 | spend=48 leads=None cpl=None ctr=3.053435 clicks=4.0 freq=1.119658 start=2026-05-26 end=2026-06-06
0508_黑馬B版 | spend=264 leads=None cpl=None ctr=1.870748 clicks=22.0 freq=1.18191 start=2026-04-09 end=2026-06-20
0522_北屯表參道B版 | spend=326 leads=None cpl=None ctr=0.943396 clicks=14.0 freq=1.174051 start=2026-04-09 end=2026-06-20
0430_南興訂簽68萬 | spend=170 leads=None cpl=None ctr=3.461063 clicks=28.0 freq=1.157368 start=2026-04-09 end=2026-06-20
0424_南興角地V2 | spend=314 leads=None cpl=None ctr=2.469136 clicks=40.0 freq=1.308562 start=2026-05-01 end=2026-05-10
0430_南興訂簽68萬 | spend=242 leads=None cpl=None ctr=3.100775 clicks=32.0 freq=1.28839 start=2026-04-09 end=2026-06-15
0430_南興訂簽68萬 | spend=29 leads=None cpl=None ctr=7.079646 clicks=8.0 freq=1.189474 start=2026-05-01 end=2026-05-10
0410_訂簽68萬 | spend=450 leads=None cpl=None ctr=3.224538 clicks=82.0 freq=1.101343 start=2026-05-02 end=2026-05-13
0424_南興角地V2 | spend=159 leads=None cpl=None ctr=1.72956 clicks=11.0 freq=1.182156 start=2026-05-02 end=2026-05-13
0424_南興角地V2 | spend=184 leads=None cpl=None ctr=2.564103 clicks=17.0 freq=1.169312 start=2026-05-02 end=2026-05-13
0410_訂簽68萬 | spend=406 leads=None cpl=None ctr=3.960905 clicks=77.0 freq=1.110223 start=2026-05-02 end=2026-05-13
0410_訂簽68萬new | spend=238 leads=None cpl=None ctr=3.161698 clicks=35.0 freq=1.078947 start=2026-04-09 end=2026-06-20
0508_黑馬B版 | spend=462 leads=None cpl=None ctr=3.279542 clicks=63.0 freq=1.082254 start=2026-04-09 end=2026-06-15
0424_南興角地V2 | spend=307 leads=None cpl=None ctr=2.409639 clicks=46.0 freq=1.100288 start=2026-05-07 end=2026-05-17
0410_訂簽68萬new | spend=153 leads=None cpl=None ctr=2.802102 clicks=16.0 freq=1.045788 start=2026-05-07 end=2026-05-17
0507_黑馬A版 | spend=3 leads=None cpl=None ctr=12.903226 clicks=4.0 freq=1.033333 start=2026-05-07 end=2026-05-17
0512_雙捷運 | spend=39 leads=None cpl=None ctr=5.722892 clicks=19.0 freq=1.070968 start=2026-05-07 end=2026-05-17
0507_黑馬A版 | spend=58 leads=None cpl=None ctr=3.755869 clicks=16.0 freq=1.103627 start=2026-05-07 end=2026-05-17
0424_南興角地V2 | spend=344 leads=None cpl=None ctr=3.478854 clicks=51.0 freq=1.141745 start=2026-05-11 end=2026-05-22
0512_雙捷運 | spend=53 leads=None cpl=None ctr=1.77305 clicks=5.0 freq=1.097276 start=2026-05-11 end=2026-05-22
0410_訂簽68萬new | spend=376 leads=None cpl=None ctr=3.179487 clicks=31.0 freq=1.079734 start=2026-05-11 end=2026-05-22
0410_訂簽68萬 | spend=14 leads=None cpl=None ctr=0.0 clicks=0.0 freq=1.0 start=2026-04-21 end=2026-04-30
0410_訂簽68萬 | spend=0 leads=None cpl=None ctr=0.0 clicks=0.0 freq=1.0 start=2026-04-21 end=2026-04-30
0507_黑馬B版 | spend=1 leads=None cpl=None ctr=0.0 clicks=0.0 freq=1.0 start=2026-04-22 end=2026-06-15
0410_訂簽68萬 | spend=318 leads=None cpl=None ctr=3.924647 clicks=50.0 freq=1.126437 start=2026-04-28 end=2026-05-08
0424_南興角地V1 | spend=227 leads=None cpl=None ctr=2.881668 clicks=47.0 freq=1.264341 start=2026-04-28 end=2026-05-08
0410_訂簽68萬 | spend=296 leads=None cpl=None ctr=4.135338 clicks=55.0 freq=1.116709 start=2026-04-29 end=2026-05-10
0424_南興角地V2 | spend=521 leads=None cpl=None ctr=2.699229 clicks=63.0 freq=1.457839 start=2026-04-29 end=2026-05-10
0430_南興訂簽68萬 | spend=153 leads=None cpl=None ctr=4.268293 clicks=28.0 freq=1.230769 start=2026-04-29 end=2026-05-10
0424_南興角地V2 | spend=183 leads=None cpl=None ctr=2.852737 clicks=37.0 freq=1.101954 start=2026-06-08 end=進行中
0410_訂簽68萬 | spend=126 leads=None cpl=None ctr=3.515625 clicks=18.0 freq=1.047035 start=2026-06-08 end=進行中
0424_南興角地V2 | spend=348 leads=None cpl=None ctr=2.614379 clicks=60.0 freq=1.099138 start=2026-05-22 end=進行中
0522_北屯表參道A版 | spend=312 leads=None cpl=None ctr=2.250489 clicks=23.0 freq=1.261728 start=2026-05-22 end=進行中
0515_AI影片V2 | spend=1 leads=None cpl=None ctr=0.0 clicks=0.0 freq=1.0 start=2026-05-22 end=進行中
0522_北屯表參道B版 | spend=309 leads=None cpl=None ctr=2.014775 clicks=30.0 freq=1.188348 start=2026-05-19 end=進行中
0522_北屯表參道B版 | spend=89 leads=None cpl=None ctr=1.230228 clicks=7.0 freq=1.065543 start=2026-05-25 end=進行中
0410_訂簽68萬 | spend=57 leads=None cpl=None ctr=2.412869 clicks=9.0 freq=1.065714 start=2026-05-26 end=進行中
0522_北屯表參道B版 | spend=205 leads=None cpl=None ctr=2.040816 clicks=15.0 freq=1.159306 start=2026-05-28 end=進行中
0410_訂簽68萬 | spend=38 leads=None cpl=None ctr=0.561798 clicks=1.0 freq=1.040936 start=2026-05-28 end=進行中
0508_黑馬B版 | spend=298 leads=None cpl=None ctr=1.559454 clicks=24.0 freq=1.156273 start=2026-05-28 end=進行中
0410_訂簽68萬 | spend=187 leads=None cpl=None ctr=3.763441 clicks=21.0 freq=1.039106 start=2026-06-01 end=進行中
0508_黑馬B版 | spend=190 leads=None cpl=None ctr=2.432432 clicks=18.0 freq=1.126332 start=2026-06-01 end=進行中
0515_AI影片V2 | spend=150 leads=None cpl=None ctr=2.12766 clicks=10.0 freq=1.21447 start=2026-05-26 end=進行中
0508_黑馬B版 | spend=27 leads=None cpl=None ctr=3.418803 clicks=8.0 freq=1.098592 start=2026-06-05 end=進行中
0410_訂簽68萬 | spend=210 leads=None cpl=None ctr=3.68364 clicks=34.0 freq=1.087161 start=2026-06-05 end=進行中
0430_南興訂簽68萬 | spend=34 leads=None cpl=None ctr=0.746269 clicks=1.0 freq=1.107438 start=2026-05-04 end=進行中
0424_南興角地V2 | spend=106 leads=None cpl=None ctr=1.079137 clicks=6.0 freq=1.168067 start=2026-05-04 end=進行中
0430_南興訂簽68萬 | spend=190 leads=None cpl=None ctr=3.897436 clicks=38.0 freq=1.310484 start=2026-05-04 end=進行中
0430_南興訂簽68萬 | spend=21 leads=None cpl=None ctr=3.225806 clicks=1.0 freq=1.148148 start=2026-05-04 end=進行中
0424_南興角地V2 | spend=40 leads=None cpl=None ctr=2.158273 clicks=6.0 freq=1.098814 start=2026-05-04 end=進行中
0410_訂簽68萬 | spend=230 leads=None cpl=None ctr=2.90737 clicks=43.0 freq=1.118759 start=2026-05-04 end=進行中
