分析報告開始,分析報告結束,廣告組合名稱,廣告組合投遞,曝光次數,觸及人數,貼文留言數,訊息對話開始次數,潛在顧客,每次成果成本,成果指標,"花費金額 (TWD)",廣告組合預算,廣告組合預算類型,點擊次數（全部）,CTR（連結點閱率）,頻率,開始,結束時間
2023-06-09,2026-07-09,"30-65 / 中科 沙鹿 新光田 / 金融 極限運動（0619調整）",inactive,10268,4795,,,5,659.2,actions:leadgen.other,3296,300,每日,281,1.15894,2.141397,2024-06-11,進行中
2023-06-09,2026-07-09,"30-65 / 沙鹿 / 生活品質",inactive,4704,2477,,,1,1208,actions:leadgen.other,1208,250,每日,111,0.99915,1.899071,2024-06-12,進行中
2023-06-09,2026-07-09,"30-65 / 沙鹿 / 保全消防業務類(619調",inactive,6425,2219,,,7,267.42857143,actions:leadgen.other,1872,3000,總經費,191,1.151751,2.895448,2024-06-21,2024-07-10
2023-06-09,2026-07-09,"33-65/ 中科.沙鹿/  生活品質",inactive,13186,4001,4,14,,214.28571429,actions:onsite_conversion.messaging_conversation_started_7d,3000,3000,總經費,705,1.698771,3.295676,2024-06-21,2024-07-12
2023-06-09,2026-07-09,"沙鹿 / 傳產 自營商 製造業",inactive,8838,3920,,1,6,463.16666667,actions:leadgen.other,2779,300,每日,270,1.120163,2.254592,2024-06-24,進行中
2023-06-09,2026-07-09,"30-55 /沙鹿梧棲中科 / 科技業生活興趣",not_delivering,16271,6459,2,1,31,258.5483871,actions:leadgen.other,8015,8250,總經費,662,1.339807,2.519121,2024-07-01,2025-02-28
2023-06-09,2026-07-09,"30-65 / 沙鹿 / 時尚園藝裝潢",inactive,3105,1353,,,1,1064,actions:leadgen.other,1064,1100,總經費,71,0.99839,2.2949,2024-07-03,2024-07-10
2023-06-09,2026-07-09,"台灣大道（沙鹿-西屯）/ 投資 自營商",inactive,2510,1869,,,2,717,actions:leadgen.other,1434,300,每日,79,0.996016,1.342964,2024-07-10,進行中
2023-06-09,2026-07-09,"台中海線 / 物流倉儲海關（沙鹿 雙重鎖定",inactive,8010,3987,,,4,644.25,actions:leadgen.other,2577,300,每日,236,1.260924,2.009029,2024-07-18,進行中
2023-06-09,2026-07-09,"25 - 40/西屯、南屯、台中市(龍井、沙鹿、清水、梧棲) - 複本 - 複本",not_delivering,54423,14156,27,63,,171.47619048,actions:onsite_conversion.messaging_conversation_started_7d,10803,11000,總經費,3121,0.578799,3.844518,2024-08-01,2024-10-31
2023-06-09,2026-07-09,"30-55 /沙鹿梧棲中科 / 科技業生活興趣(1023調整",not_delivering,53836,11440,16,10,65,418.29230769,actions:leadgen.other,27189,28500,總經費,1951,0.943607,4.705944,2024-08-01,2024-10-31
2023-06-09,2026-07-09,"30-65 /沙鹿在地 / 海線網站+中港粉專",inactive,3886,893,,,2,916,actions:leadgen.other,1832,2500,總經費,153,1.646938,4.351624,2024-08-01,2024-08-09
2023-06-09,2026-07-09,"30-65 /沙鹿在地 / 醫療產業",inactive,8058,3083,,1,7,534.85714286,actions:leadgen.other,3744,6700,總經費,252,1.203773,2.613688,2024-08-01,2024-09-09
2023-06-09,2026-07-09,"35-65 / 沙鹿在地 / 海線網站+中港粉專互動",inactive,7571,2392,2,4,,453.5,actions:onsite_conversion.messaging_conversation_started_7d,1814,2500,總經費,284,0.911372,3.165134,2024-08-01,2024-08-09
2023-06-09,2026-07-09,"35-65 / 沙鹿在地 / 醫療+日系興趣",inactive,38631,9223,10,14,,613.21428571,actions:onsite_conversion.messaging_conversation_started_7d,8585,9500,總經費,1568,1.092387,4.18855,2024-08-01,2024-10-09
