分析報告開始,分析報告結束,廣告組合名稱,廣告組合投遞,曝光次數,觸及人數,貼文留言數,訊息對話開始次數,潛在顧客,每次成果成本,成果指標,"花費金額 (TWD)",廣告組合預算,廣告組合預算類型,點擊次數（全部）,CTR（全部）,頻率,粉絲專頁互動,開始,結束時間
2025-10-28,2026-06-01,(test)30-55/中科水湳中清/生活品質/置產客,inactive,1720,1358,,,,,,456,250,每日,33,1.918605,1.266568,12,2026-05-25,進行中
2025-10-28,2026-06-01,(test)再行銷/創景電話名單/APT,inactive,1232,302,,,1,1186,actions:leadgen.other,1186,250,每日,22,1.785714,4.07947,17,2026-05-27,進行中
2025-10-28,2026-06-01,(test)30-55/太原+5/房產投資/老闆輪廓,inactive,1073,826,,,,,,525,250,每日,36,3.355079,1.299031,9,2026-05-27,進行中
2025-10-28,2026-06-01,(test)40-60/太原崇德北屯/退休宅換屋,inactive,1612,1102,,,,,,878,250,每日,45,2.791563,1.462795,21,2026-05-29,進行中
2025-10-28,2026-06-01,"28-55 / 西區南區大里 / 購屋需求",inactive,2690,2585,,,,,,1073,400,每日,44,1.635688,1.040619,433,2025-11-04,進行中
2025-10-28,2026-06-01,"27-55 / 南區東區太平 / 行銷設計",inactive,3339,2903,,,1,1633,actions:leadgen.other,1633,400,每日,56,1.677149,1.150189,542,2025-11-04,進行中
2025-10-28,2026-06-01,"28-55 / 十期東區 / 韓國流行文化",inactive,2009,1870,,,,,,794,400,每日,33,1.642608,1.074332,332,2025-11-05,進行中
2025-10-28,2026-06-01,"27-55 / 西屯北屯 / 日漫影視",inactive,1746,1615,,,,,,790,400,每日,29,1.660939,1.081115,308,2025-11-05,進行中
2025-10-28,2026-06-01,"28-60 / 潭子太平大里 / 業務工作(1118調區域)",inactive,12198,10239,,,5,1217.2,actions:leadgen.other,6086,400,每日,265,2.172487,1.191327,2140,2025-11-06,進行中
2025-10-28,2026-06-01,"28-60 / 北屯 / 1%+房地產",inactive,2604,2291,,,1,1188,actions:leadgen.other,1188,400,每日,62,2.380952,1.136622,471,2025-11-07,進行中
2025-10-28,2026-06-01,"28-60 / 北屯東區 / 1%+銀行保險",inactive,2286,2102,,,1,1205,actions:leadgen.other,1205,400,每日,52,2.274716,1.087536,419,2025-11-07,進行中
2025-10-28,2026-06-01,"27-55 / 豐原潭子 / 年輕人興趣",inactive,1453,1231,,,,,,1220,400,每日,33,2.271163,1.180341,274,2025-11-07,進行中
2025-10-28,2026-06-01,"28-55 / 西屯中科 / 電玩收藏",inactive,1723,1480,,,1,1208,actions:leadgen.other,1208,400,每日,41,2.379571,1.164189,306,2025-11-07,進行中
2025-10-28,2026-06-01,"27-55 / 西屯南屯 / 登山運動工程師(1116+出國興趣",inactive,19447,15823,,,7,1114.57142857,actions:leadgen.other,7802,300,每日,353,1.81519,1.229034,3144,2025-11-08,進行中
2025-10-28,2026-06-01,"28-55 / 太原大里樂業 / 娛樂興趣",inactive,1151,1074,,,,,,507,300,每日,27,2.345786,1.071695,199,2025-11-08,進行中
2025-10-28,2026-06-01,"27-55 / 西屯北屯 / 年輕上班族(1112調區域",inactive,1548,1290,,,,,,1268,400,每日,31,2.002584,1.2,218,2025-11-10,進行中
2025-10-28,2026-06-01,"35-60 / 潭子北屯太平 / 子女置產(1126調區域)",inactive,17979,13593,1,,15,866.66666667,actions:leadgen.other,13000,300,每日,482,2.680906,1.322666,4189,2025-11-10,進行中
2025-10-28,2026-06-01,"28-55 / 潭子太平大里 / 成家育兒(1112受眾簡化",inactive,4449,3848,,,1,2384,actions:leadgen.other,2384,400,每日,78,1.753203,1.156185,713,2025-11-10,進行中
2025-10-28,2026-06-01,"28-55 / 74沿線 / 通勤傳產零售",inactive,22818,19978,,,11,807.72727273,actions:leadgen.other,8885,300,每日,425,1.862565,1.142156,4003,2025-11-10,進行中
2025-10-28,2026-06-01,"27-55 / 中科精科 / 科技新貴(1112受眾簡化+運動",inactive,1462,1169,,,,,,1118,400,每日,25,1.709986,1.250642,212,2025-11-10,進行中
2025-10-28,2026-06-01,"35-60 / 豐原潭子靜宜 / 長輩置產(1121+運動休閒 / 排除IG",inactive,12245,9691,,,8,886,actions:leadgen.other,7088,300,每日,325,2.654145,1.263543,2648,2025-11-10,進行中
2025-10-28,2026-06-01,"27-55 / 西屯南屯大雅 / 儲蓄家具設計",inactive,9951,8830,1,,3,952,actions:leadgen.other,2856,400,每日,190,1.909356,1.126954,1588,2025-11-13,進行中
2025-10-28,2026-06-01,"27-55 / 中區北區 / 跑咖追星出國",inactive,20643,15985,4,1,4,1270.25,actions:leadgen.other,5081,400,每日,279,1.351548,1.291398,3050,2025-11-13,進行中
2025-10-28,2026-06-01,"27-60/ 北屯太平東區 /銀行 精算師(1118調區域)",inactive,3301,2786,,,,,,1593,400,每日,142,4.301727,1.184853,905,2025-11-16,進行中
