分析報告開始,分析報告結束,廣告組合名稱,貼文留言數,訊息對話開始次數,潛在顧客,每次成果成本,成果指標,"花費金額 (TWD)",點擊次數（全部）,CTR（全部）,頻率,開始,結束時間
2025-10-28,2026-05-29,"27-45 / 西區水湳洲際 / 科技業族群(1205調地點)",1,,,,,2489,55,1.603031,1.412515,2025-12-02,2025-12-11
2025-10-28,2026-05-29,"30-45 / 74沿線 / 在地自營傳產(1205調地點)",,,,,,2319,111,2.503383,1.150195,2025-12-02,2025-12-11
2025-10-28,2026-05-29,"30-50 / 北區北屯西屯 / 生活面向",,,,,,1507,48,2.222222,1.098119,2025-12-04,2025-12-14
2025-10-28,2026-05-29,"27-45 / 西區北區洲際 / 商務興趣",1,,1,2106,actions:leadgen.other,2106,105,2.571009,1.15172,2025-12-04,2025-12-14
2025-10-28,2026-05-29,"27-45/ 東區北區洲際 / 年輕藝文興趣(16-2點)",,,4,626.25,actions:leadgen.other,2505,90,1.858736,1.11644,2025-12-08,2025-12-20
2025-10-28,2026-05-29,"35-60 / 潭子北屯太平 / 退休健康保健",2,,1,2705,actions:leadgen.other,2705,99,3.208036,1.223632,2025-12-08,2025-12-20
2025-10-28,2026-05-29,"27-50 / 南區東區大里 / 時事興趣(1217調地點)",,,2,1449,actions:leadgen.other,2898,102,2.375408,1.244999,2025-12-08,2025-12-20
2025-10-28,2026-05-29,"再行銷 / 原潮APT(1217換粉專)",1,,4,1015.25,actions:leadgen.other,4061,192,4.317517,2.331935,2025-12-10,2025-12-30
2025-10-28,2026-05-29,"28-45 / 西區北區北屯 / 教育享樂",1,,,,,2055,49,1.144325,1.144308,2025-12-11,2025-12-21
2025-10-28,2026-05-29,"28-45 / 中區北區洲際 / 社交網路娛樂(1217調地點)",1,1,4,749.75,actions:leadgen.other,2999,123,1.697488,1.194133,2025-12-11,2025-12-21
2025-10-28,2026-05-29,"27-45 / 北區北屯洲際 / 外語私校教育",,,1,1767,actions:leadgen.other,1767,33,1.547117,1.280312,2025-12-17,2025-12-28
